Emoticon,Positiva,Neutra,Negativa,Crítica,Elogio,Dúvida,Comparação,Sugestão,Ajuda
😂,8,8,8,5,7,6,4,1,1
❤,10,3,0,0,10,1,0,2,0
😍,14,0,0,0,14,0,0,0,0
💜,3,0,0,0,2,0,1,0,0
🤦,4,2,19,17,2,3,3,1,0
😭,0,0,9,8,1,1,0,1,0
🤣,4,1,2,3,2,0,1,1,0
🙄,1,1,21,22,0,0,1,1,0
♀,3,2,12,12,2,0,3,1,0
🤔,2,4,10,5,1,9,0,2,0
🙏,4,2,2,2,4,1,1,0,0
👏,1,0,0,0,1,0,0,0,0
♂,1,1,5,4,0,2,1,0,0
👍,1,1,1,1,1,0,0,1,0
😘,1,0,1,1,1,0,0,0,0
😉,3,1,1,1,1,0,0,2,1
✌,2,0,0,0,2,0,0,0,0
😎,2,1,0,0,2,0,0,1,0
♥,0,0,0,0,0,0,0,0,0
😡,0,0,8,8,0,0,0,1,0
😁,2,0,1,1,1,0,0,2,0
😅,5,2,2,3,0,0,2,4,0
😊,2,1,0,0,2,0,0,1,0
😔,2,1,2,3,2,0,0,0,0
😹,0,0,1,1,0,0,0,0,0
💕,6,0,0,0,5,0,1,0,0
🤷,0,1,1,1,0,0,1,0,0
😴,1,0,2,3,1,0,0,0,0
👎,1,0,3,2,0,0,2,0,0
🔶,0,0,0,0,0,0,0,0,0
😏,1,0,1,1,1,0,0,0,0
💔,0,1,4,4,0,0,0,1,0
🤪,0,0,0,0,0,0,0,0,0
🤠,1,0,0,0,1,0,0,0,0
😢,0,1,2,3,1,0,0,1,0
👌,0,1,2,2,1,0,0,0,0
🤙,0,0,0,0,0,0,0,0,0
🤗,1,1,0,0,0,0,1,1,0
⬇,0,0,0,0,0,0,0,0,0
🙌,3,0,0,0,3,0,0,0,0
😑,1,1,6,7,0,0,0,1,0
🤩,2,0,1,1,2,0,0,0,0
😤,0,1,2,2,1,0,0,0,0
😪,0,0,1,1,0,0,0,0,0
😩,0,0,3,3,0,0,0,0,0
⚠,0,0,1,1,0,0,0,0,0
✨,1,0,0,0,1,0,0,0,0
😒,1,0,3,3,1,0,0,1,0
👀,0,0,2,2,0,0,0,0,0
💖,0,0,0,0,0,0,0,0,0
👇,0,0,0,0,0,0,0,0,0
🍊,0,0,0,0,0,0,0,0,0
🙈,1,0,1,1,0,0,1,0,0
😜,0,0,0,0,0,0,0,0,0
😈,0,1,0,1,0,0,0,0,0
🖤,5,0,0,1,5,0,0,0,0
💙,1,0,0,0,1,0,0,0,0
😠,0,0,2,2,0,0,0,0,0
☺,0,0,0,0,0,0,0,0,0
🤧,0,0,0,0,0,0,0,0,0
😄,1,1,1,1,1,0,1,0,0
😨,0,0,0,0,0,0,0,0,0
😃,0,0,0,0,0,0,0,0,0
🎈,0,0,1,1,0,0,0,0,0
🌹,0,0,0,0,0,0,0,0,0
👊,1,0,0,0,1,0,0,0,0
😌,0,0,1,1,0,0,0,0,0
💛,0,0,0,0,0,0,0,0,0
📱,0,0,0,0,0,0,0,0,0
🙃,0,1,0,0,0,0,0,1,0
🚫,0,0,0,0,0,0,0,0,0
😬,0,0,1,1,0,0,0,0,0
😝,0,0,0,0,0,0,0,0,0
👉,0,0,0,0,0,0,0,0,0
😱,0,0,0,0,0,0,0,0,0
🚨,0,0,0,0,0,0,0,0,0
🔥,0,1,0,0,0,1,0,0,0
⚽,0,0,0,0,0,0,0,0,0
😋,1,0,0,0,0,0,0,1,0
🙊,0,1,0,0,0,0,1,0,0
🤮,0,1,0,0,0,0,0,1,0
✊,2,0,2,2,2,0,0,0,0
🤭,0,0,0,0,0,0,0,0,0
⚫,1,0,0,0,1,0,0,0,0
😆,0,0,0,0,0,0,0,0,0
🤬,0,0,0,0,0,0,0,0,0
🤘,1,0,0,0,0,0,0,1,0
💪,0,0,0,0,0,0,0,0,0
🤟,0,0,1,1,0,0,0,0,0
😞,0,0,0,0,0,0,0,0,0
🎤,0,0,0,0,0,0,0,0,0
🔞,0,0,0,0,0,0,0,0,0
🎥,0,0,0,0,0,0,0,0,0
💋,0,0,0,0,0,0,0,0,0
🌚,0,0,1,1,0,0,0,0,0
😓,0,0,2,2,0,0,0,0,0
💚,1,1,0,0,1,0,0,1,0
😐,2,0,1,1,0,0,2,0,0
🔴,0,0,0,0,0,0,0,0,0
😳,0,0,0,0,0,0,0,0,0
💩,0,0,1,0,0,1,0,0,0
🤤,2,0,1,1,2,0,0,0,0
🤑,0,0,0,0,0,0,0,0,0
💥,0,1,0,0,0,1,0,0,0
🙂,0,0,0,0,0,0,0,0,0
😕,0,0,3,2,0,0,0,1,0
😫,0,0,2,2,0,0,0,0,0
☝,0,0,0,0,0,0,0,0,0
🎼,0,0,0,0,0,0,0,0,0
👼,0,0,0,0,0,0,0,0,0
😣,0,0,0,0,0,0,0,0,0
😚,0,0,0,0,0,0,0,0,0
😵,0,0,0,0,0,0,0,0,0
💞,1,0,0,0,1,0,0,0,0
💗,1,0,0,0,1,0,0,0,0
🎶,0,0,0,0,0,0,0,0,0
😰,0,0,1,0,0,1,0,0,0
👹,0,0,0,0,0,0,0,0,0
👿,0,0,0,0,0,0,0,0,0
🎸,0,0,0,0,0,0,0,0,0
😥,0,1,1,1,0,1,0,0,0
🎬,0,0,0,0,0,0,0,0,0
🎉,0,1,0,0,0,1,0,0,0
💈,0,0,0,0,0,0,0,0,0
💘,1,0,0,0,1,0,0,0,0
💁,0,0,0,0,0,0,0,0,0
📞,0,0,0,0,0,0,0,0,0
⚪,1,0,0,0,1,0,0,0,0
💻,0,0,0,0,0,0,0,0,0
🍤,0,0,0,0,0,0,0,0,0
🖕,0,0,2,2,0,0,0,0,0
🌸,0,0,0,0,0,0,0,0,0
🤨,1,0,1,1,0,0,1,0,0
😖,0,0,0,0,0,0,0,0,0
🐦,0,0,0,0,0,0,0,0,0
✂,0,0,0,0,0,0,0,0,0
📏,0,0,0,0,0,0,0,0,0
😲,0,0,0,0,0,0,0,0,0
☀,0,0,0,0,0,0,0,0,0
✔,0,0,0,0,0,0,0,0,0
🤢,0,0,1,1,0,0,0,0,0
😀,0,1,0,0,1,0,0,0,0
🤓,0,0,0,0,0,0,0,0,0
☕,0,0,0,0,0,0,0,0,0
❌,0,0,0,0,0,0,0,0,0
✅,0,0,0,0,0,0,0,0,0
😯,0,0,0,0,0,0,0,0,0
💆,0,1,0,0,0,0,0,1,0
➡,0,0,0,0,0,0,0,0,0
🙋,0,0,0,0,0,0,0,0,0
🤞,0,0,0,0,0,0,0,0,0
👁,0,0,0,0,0,0,0,0,0
🏁,0,0,0,0,0,0,0,0,0
🤝,0,0,0,0,0,0,0,0,0
👺,0,0,2,2,0,0,0,0,0
👻,0,0,0,0,0,0,0,0,0
😶,0,0,0,0,0,0,0,0,0
🍃,0,0,0,0,0,0,0,0,0
🏍,0,0,0,0,0,0,0,0,0
🌼,0,0,0,0,0,0,0,0,0
💯,0,0,0,0,0,0,0,0,0
🥋,0,0,0,0,0,0,0,0,0
🌪,0,0,0,0,0,0,0,0,0
😧,0,0,0,0,0,0,0,0,0
💡,0,0,0,0,0,0,0,0,0
💫,0,0,0,0,0,0,0,0,0
🏐,0,0,0,0,0,0,0,0,0
▶,0,0,0,0,0,0,0,0,0
🍪,0,0,0,0,0,0,0,0,0
💤,0,0,0,0,0,0,0,0,0
🗣,0,0,0,0,0,0,0,0,0
👃,0,0,0,0,0,0,0,0,0
🔁,0,0,0,0,0,0,0,0,0
🙁,0,0,0,0,0,0,0,0,0
✝,0,0,0,0,0,0,0,0,0
👈,0,0,1,1,0,0,0,0,0
💭,0,0,0,0,0,0,0,0,0
📲,0,0,0,0,0,0,0,0,0
🤫,0,0,0,0,0,0,0,0,0
🌟,0,0,0,0,0,0,0,0,0
🌛,0,0,0,0,0,0,0,0,0
☑,0,0,1,1,0,0,0,0,0
🙅,0,0,1,1,0,0,0,0,0
😇,0,0,0,0,0,0,0,0,0
🌙,0,0,0,0,0,0,0,0,0
⬆,0,0,0,0,0,0,0,0,0
🤡,0,0,0,0,0,0,0,0,0
😮,0,0,0,0,0,0,0,0,0
🙇,0,0,0,0,0,0,0,0,0
🌎,1,0,0,0,1,0,0,0,0
🙆,0,0,0,0,0,0,0,0,0
🎭,0,0,0,0,0,0,0,0,0
📢,0,0,0,0,0,0,0,0,0
👥,0,0,0,0,0,0,0,0,0
✋,0,0,0,0,0,0,0,0,0
🦁,0,0,0,0,0,0,0,0,0
📻,0,0,0,0,0,0,0,0,0
🏌,0,0,0,0,0,0,0,0,0
🎵,0,0,0,0,0,0,0,0,0
🍀,0,0,0,0,0,0,0,0,0
🐱,0,0,0,0,0,0,0,0,0
😙,0,0,0,0,0,0,0,0,0
🤯,0,0,0,0,0,0,0,0,0
👐,0,0,0,0,0,0,0,0,0
😻,0,0,1,1,0,0,0,0,0
🕊,0,0,0,0,0,0,0,0,0
👆,0,0,0,0,0,0,0,0,0
™,0,0,0,0,0,0,0,0,0
📸,0,0,0,0,0,0,0,0,0
👋,0,0,0,0,0,0,0,0,0
🍫,0,0,0,0,0,0,0,0,0
❣,1,0,0,0,1,0,0,0,0
💇,0,0,0,0,0,0,0,0,0
⭐,0,0,0,0,0,0,0,0,0
🍦,0,0,0,0,0,0,0,0,0
🛰,0,1,0,0,0,0,1,0,0
🍿,0,0,0,0,0,0,0,0,0
🐷,0,0,0,0,0,0,0,0,0
📹,0,0,0,0,0,0,0,0,0
©,0,0,0,0,0,0,0,0,0
✳,0,0,0,0,0,0,0,0,0
☹,0,0,0,0,0,0,0,0,0
🚂,0,0,0,0,0,0,0,0,0
🐩,0,0,0,0,0,0,0,0,0
🤾,0,0,0,0,0,0,0,0,0
🦋,0,0,0,0,0,0,0,0,0
🍝,0,0,0,0,0,0,0,0,0
🔰,0,0,0,0,0,0,0,0,0
🐺,0,1,0,0,0,0,0,1,0
🔘,0,1,0,0,0,0,0,1,0
🦕,0,0,0,0,0,0,0,0,0
