N°,Data,ID,Postagem,Emojis da Postagem,PRU/Não-PRU,Tipo,Analise de Sentimento,Artefato
1,Wed Mar 20 23:29:29 +0000 2019,1108510904168169483,Boa noite galera! Twitter novo na pista Pois aquele foi removido por motivo de data errada... Segue aí  🤜🤛,🤜(1)🤛(1),Não-PRU,,,Twitter for Android
2,Wed Mar 20 21:36:04 +0000 2019,1108482362386591746,Twitter novo é muito ruim 🙄,🙄(1),PRU,Crítica,Negativa,Twitter for Android
3,Wed Mar 20 21:22:03 +0000 2019,1108478834658152448,Ajuda ae galera twitter novo 😁😁#QuartaGaleraUdoSDV,😁(2),Não-PRU,,,Twitter for Android
4,Wed Mar 20 21:21:43 +0000 2019,1108478751074070529,Ajuda ae galera twitter novo 😁#QuartaEliteDoSDV,😁(1),Não-PRU,,,Twitter for Android
5,Wed Mar 20 20:55:22 +0000 2019,1108472118004596736,{User} twitter novo Pedro? 😈,😈(1),Não-PRU,,,Twitter Web App
6,Wed Mar 20 18:49:21 +0000 2019,1108440404939161600,Twitter novo 💜,💜(1),Não-PRU,,,Twitter Web App
7,Wed Mar 20 18:39:05 +0000 2019,1108437821692563457,Twitter novo segue aii 🙄😎 {URL},🙄(1)😎(1),Não-PRU,,,Twitter for Android
8,Wed Mar 20 16:16:11 +0000 2019,1108401861156106242,Twitter novo 🤘,🤘(1),Não-PRU,,,Twitter for Android
9,Wed Mar 20 16:03:16 +0000 2019,1108398609278619652,"Uma merda fazer um twitter novo, começa do 0 dnv 👎",👎(1),PRU,Crítica,Negativa,Twitter for Android
10,Wed Mar 20 15:55:12 +0000 2019,1108396578912514053,Brabo! Twitter novo do amigo. Seguem aí ❤️❤️💈📏✂️ {URL},❤(2)💈(1)📏(1)✂(1),Não-PRU,,,Twitter for iPhone
11,Wed Mar 20 15:53:24 +0000 2019,1108396126602964992,Americano atras da orelha/moicano disfarçado 💈✂️📏❤️😎Twitter novo seguem aí ❤️💈✂️{User} {URL},💈(2)✂(2)📏(1)❤(2)😎(1),Não-PRU,,,Twitter for iPhone
12,Wed Mar 20 15:52:38 +0000 2019,1108395934084403201,Kkkkkkkkkkkkkkkkkkkkkkkkkkk.... morri olha o que eu achei no Twitter perdido. 🤣🤣🤣🤣 Saudades desse tempo.💔❤… {URL},🤣(4)💔(1)❤(1),Não-PRU,,,Twitter for Android
13,Wed Mar 20 15:50:29 +0000 2019,1108395392645980160,"Quem eu segui e não me seguir de volta vai ver só, Twitter novo pessoal, tenham compaixão com minha perda 😂😬",😂(1)😬(1),Não-PRU,,,Twitter Web App
