,Emoticon,Tipo
0,😂,Elogio
1,❤,Elogio
2,😍,Elogio
3,💜,Elogio
4,🤦,Crítica
5,😭,Crítica
6,🤣,Crítica
7,🙄,Crítica
8,♀,Crítica
9,🤔,Dúvida
10,🙏,Elogio
11,👏,Elogio
12,♂,Crítica
13,😉,Sugestão
14,✌,Elogio
15,😎,Elogio
16,😡,Crítica
17,😁,Sugestão
18,😅,Sugestão
19,😊,Elogio
20,😔,Crítica
21,😹,Crítica
22,💕,Elogio
23,😴,Crítica
24,💔,Crítica
25,🤠,Elogio
26,😢,Crítica
27,👌,Crítica
28,🙌,Elogio
29,😑,Crítica
30,🤩,Elogio
31,😤,Crítica
32,😪,Crítica
33,😩,Crítica
34,⚠,Crítica
35,✨,Elogio
36,😒,Crítica
37,👀,Crítica
38,😈,Crítica
39,🖤,Elogio
40,💙,Elogio
41,😠,Crítica
42,🎈,Crítica
43,👊,Elogio
44,😌,Crítica
45,🙃,Sugestão
46,😬,Crítica
47,🔥,Dúvida
48,😋,Sugestão
49,🙊,Comparação
50,🤮,Sugestão
51,⚫,Elogio
52,🤘,Sugestão
53,🤟,Crítica
54,🌚,Crítica
55,😓,Crítica
56,😐,Comparação
57,💩,Dúvida
58,🤤,Elogio
59,💥,Dúvida
60,😕,Crítica
61,😫,Crítica
62,💞,Elogio
63,💗,Elogio
64,😰,Dúvida
65,🎉,Dúvida
66,💘,Elogio
67,⚪,Elogio
68,🖕,Crítica
69,🤢,Crítica
70,😀,Elogio
71,💆,Sugestão
72,👺,Crítica
73,👈,Crítica
74,☑,Crítica
75,🙅,Crítica
76,🌎,Elogio
77,😻,Crítica
78,❣,Elogio
79,🛰,Comparação
80,🐺,Sugestão
81,🔘,Sugestão
82,📌,Crítica
