Seleção,ID_Usuário,Título,Data,Postagem,PRU/N-PRU,Tipo de PRU,Polaridade,Funcionalidade,,Elogio,Ajuda,Crítica,Dúvida,Comparação,Sugestão,Positivo,Negativo,Neutro
,618,,6/1/2011,"Adriano e Ranulfo, o início das matrículas será dia 31 de janeiro. O procedimento é simples, basta entrar no sistema SIGAA e escolher as disciplinas ofertadas. Próximo semestre serão ofertadas as disciplinas específicas (Biologia I, Química I, Física I e Matemática I), Tecnologias Digitais e Metodologia da Pesquisa. Os professores e horários ainda não estão definidos. Assim que estiver tudo Ok enviaremos o calendário.",PRU,Ajuda,Neutro,Matrícula,,0,1,0,0,0,0,0,0,1
,588,,7/1/2011,"Me pergunto pq investir em um novo sistema (que não funciona) se continuamos usando o antigo (que tb não é lá essas coisas...). Posso imprimir um histórico com minha nota em Tópicos correta no Módulo Acadêmico, mas segundo ele não estive matriculada em nada no semestre que passou. E, se quiser um histórico onde conste minha matrícula em 2010.2, estou com ZERO em Tópicos. Great!
Nos resta perturbar o Coord. Rodrigo!",PRU,"Crítica, Comparação",Negativo,-,,0,0,1,0,1,0,0,1,0
,855,DISCIPLINAS de 2011.1,25/1/2011,"Senhores quais serão as disciplinas para o semestre de 2011.1... Precisamos saber o quanto antes pra colocarmos nos relatórios CAPES...e como será a visualização das mesmas aqui no SI3????


Agradecido.",PRU,Dúvida,Neutro,Visualizar Disciplinas,,0,0,0,1,0,0,0,0,1
,4615,Matrícula,26/1/2011,Como faço para ver a lista de disciplinas que estão disponíveis?,PRU,Dúvida,Neutro,Visualizar Disciplinas,,0,0,0,1,0,0,0,0,1
,3597,,28/1/2011,"Vai em consultar turma e clica no quadrinho ao lado do Mestrado em Ensino de Ciências e Matemática.
",PRU,Ajuda,Neutro,-,,0,1,0,0,0,0,0,0,1
,217,MATRÍCULA 2011.1,31/1/2011,"Na manhã de 31/01, não consegui realizar minha matrícula. Alguém já conseguiu?",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,4283,,31/1/2011,"COORDENAÇÃO.... O SISTEMA NÃO ESTÁ PERMITINDO MATRÍCULAS?QUAL O PROCEDIMENTO?

Comportamento Inesperado!
O sistema comportou-se de forma inesperada e por isso não foi possível realizar com sucesso a operação selecionada. 

A Secretaria de Tecnologia da Informação já foi notificada sobre este problema através de um e-mail automático e providenciará em breve sua correção. 


Pedimos desculpas por eventuais transtornos... 

",PRU,Dúvida,Neutro,-,,0,0,0,1,0,0,0,0,1
,4845,,31/1/2011,"NÃO ESTOU CONSEGUINDO FAZER AS MATRÍCULAS, QUAL É O PROCEDIMENTO NESTE CASO?",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,844,Matrícula 2011.1,31/1/2011,"Tentei realizar a matrícula mas não consegui. Vcs sabem como fazer. Acho que devo me matricular novamente em tese, alguem da minha turma poderia me ajudar?",PRU,Dúvida,Neutro,Matrícula,,0,0,0,1,0,0,0,0,1
,1454,,31/1/2011,"Complementando:

Para matrícula em Dissertação/Tese siga os seguintes passos:

1. No menu Ensino, escolha Matrícula online > Realizar Matrícula
2. No menu seguinte escolher a opção Defesa
3. Selecionar a opção (Tese ou Dissertação, conforme o caso) e confirmar.

Para quaisquer dúvidas durante o período de matrícula estamos o dia todo no 7014/7009.",PRU,Ajuda,Neutro,Matrícula,,0,1,0,0,0,0,0,0,1
